"SG&A"	"Content Developer"
"2"	"iSeries Marketing ASEAN/SA"
"MS"	"ASEAN Techline Specialist - Storage"
"PUBLIC SECTOR"	"Manager - CRM Siebel Development"
"MS"	"Customer Service Representative"
"IS"	"IT Specialist"
"IS"	"Sales Operations Manager"
"IS"	"Inc.&Comm. Operations Mgr - S&D , Italy"
"IS"	"ITS Legacy System Support - MED TA Appl Owner -BTE PM"
"IS"	"Manager of Sales Productivity Center - Region South"
"IS"	"Client Executive, FSS Coop Banks"
"IS"	"AMS Italy"
"IS"	"IT Specialist"
"IS"	"IGS Operations - Business Mgmt Reporting Centre"
"IS"	"IT Specialist"
"11"	"AMS Integrated Delivery Manager"
"2"	"PROCUREMENT SPECIALIST"
"2"	"CUSTOMER RELATIONS REP"
"2"	"Accounts Assistant"
"2"	"Confidential Secretary"
"2"	"SALES CO-ORDINATOR"
"2"	"Customer IT Support Representative"
"2"	"Confidential Secretary"
"2"	"Project Administrator"
"2"	"PRICING ANALYST"
"2"	"PROCUREMENT SPECIALIST"
"2"	"COORDINATING HR SPECIALIST"
"2"	"RECRUITER"
"2"	"ACCOUNTANT SPECIALIST"
"2"	"Customer Fulfillment Professional"
"2"	"AR CREDIT ANALYST"
"2"	"PROCUREMENT SPECIALIST"
"2"	"Administration Specialist"
"2"	"EF ACCOUNTANT"
"2"	"Administration Specialist"
"2"	"INVENTORY ACCOUNTANT"
"2"	"TREASURY SETTLEMENT ADMINISTRATOR"
"2"	"Administration Specialist"
"2"	"PROCUREMENT SPECIALIST"
"2"	"DISTRIBUTION SPECIALIST"
"2"	"PROCUREMENT SPECIALIST"
"2"	"Project Coordinator"
"WW SALES"	"Manager, ISV, Developer Relations, and SMB Media Relations"
"WW SALES"	"STSM, DB2 for z/OS Development"
"0"	"Manager"
"HUMAN RESOURCES"	"Director, Government Relations"
"SOFTWARE GROUP"	"software engineer"
"SI"	"ITO Consuting and Architecture"
"TG STAFF"	"HR PARTNER - Hardware Development"
"STRATEGIC OUTSOURCING"	"Project Manager of I&SM, Networking & SC, BCRS, HWL  projects"
"SI"	"IT Architect"
"64"	"Account Development Representative - Software"
"SG&A"	"WebSphere Business Integration for i5/OS - OS/400"
"2"	"Graphic Artist"
"2"	"CONSULTANT"
"REAL ESTATE"	"SMB Territory Manager"
"SG&A"	"Software Engineer, UI Design, SMIT and WebSM"
"WW SALES"	"Browser Development"
"SG&A"	"BladeCenter Mech Development"
"PUBLIC SECTOR"	"BCS Industry Marketing"
"PUBLIC SECTOR"	"Systems Monitoring & Client Support, SDC-NE"
"0"	"Program Manager, Top Talent, Executive Resources & Technical Resources"
"SG&A"	"High Volume/High Density Servers and Subsystems"
"2"	"Client Satisfaction Exec"
"SEC F&S OPS"	"Financial Sales Exec - Southern California"
"WW SALES"	"Software Group HR Partner, Tivoli Software Solutions"
"PUBLIC SECTOR"	"AT&T Account Midrange Center of Operations"
"SG&A"	"HR Partner, Software Group"
"SG&A"	"Software Engineer"
"RESEARCH"	"Research Staff Member, Adaptive & Autonomic Systems"
"MARKETING"	"IBM Senior VP, Marketing"
"REAL ESTATE"	"Business Manager - State Farm Client Team"
"2"	"CPG e Servers Manager"
"PUBLIC SECTOR"	"Community Building, BCS Global Knowledge Management, Learning and Knowledge"
"SMB FINANCE"	"ASSOCIATE PARTNER - MGR (BCS O"
"2"	"panEMEA offerings manager, ERP applications"
"STRATEGIC OUTSOURCING"	"Systems Support Engineer"
"TG STAFF"	"Admin. to: Paul Ledak & Mark Ireland, Mike Mcginnis, Rob Gibson, Lester Fox & Bobby Wong"
"0"	"Sr. Software Engineer"
"WW SALES"	"Software Engineer, IBM Informix CSDK"
"6"	"WAS Install"
"HUMAN RESOURCES"	"Assoc General Counsel"
"17"	"Direction de project"
"PUBLIC SECTOR"	"AMS Asset Management"
"WW SALES"	"Engineering & Test Manager, IBM/Rational Software, Product Globalization Services"
"PUBLIC SECTOR"	"Managing Consultant"
"2"	"PUBLIC RELATIONS MANAGER"
"TG STAFF"	"DIW Re-engineering"
"PUBLIC SECTOR"	"Part-Time - Organization Support Analyst, AMS Americas Resource Strategy Business Office"
"REAL ESTATE"	"Business Development- WebSphere Channels (West & PNW)"
"TG STAFF"	"Business Office Manager - Services and Software"
"TG STAFF"	"Patent Agent, IP Law"
"2"	"Anlayst Programmer"
"SOFTWARE SALES"	"Consultant - Linux/AIX: xSeries and pSeries; GeSC (Global e-business Solutions Center)"
"2"	"SR Consulting IT Archite"
"2"	"BCS Nordic Region, Supply Chain Consulting"
"SOFTWARE SALES"	"Internal and sales communications -- SMB and financial services sector"
"RESEARCH"	"User Interface Research"
"PUBLIC SECTOR"	"pSeries TEAM LEAD / ESS/SECURITY/ SYSTEM TUNING / PERFORMANCE"
"PUBLIC SECTOR"	"Change Strategy Consultant"
"MARKETING"	"VP WW DCM Planning & Implementation"
"IS"	"IGS Application Management Services - Region South"
"SO"	"Manager of IGA Infrastructure Projects, EMEA Infrastructure PE"
"SG&A"	"Innovation Manager - zSeries User Technologies"
"SG&A"	"eClipz circuit design"
"64"	"Team Leader - Canada Sectors"
"TG STAFF"	"SECRETARY"
"PUBLIC SECTOR"	"Contracts & Negotiations, Business Partner Team"
"HUMAN RESOURCES"	"Program Manager, HR Development & Resources"
"17"	"CRMS Customer Support Services"
"17"	"Asset Management, Department Financials, Raised Floor Infrastructure"
"WW SALES"	"ITS SYS SW SPECIALIST PRO"
"17"	"Client Representative"
"PUBLIC SECTOR"	"DB2"
"REAL ESTATE"	"CLIENT UNIT MANAGER"
"2"	"IT Specialist - Networking"
"2"	"CLIENT MANAGER"
"PUBLIC SECTOR"	"Senior IT Specialist"
"64"	"Inside Specialist Software Sales Representative"
"TG STAFF"	"Power PC Design Validation & Verification"
"PUBLIC SECTOR"	"Business Consulting Services / SAP HCM"
"SOFTWARE GROUP"	"Program Director - Sametime & LWP Web Conferencing & Hosting"
"PUBLIC SECTOR"	"Content/Communications Lead, Centers for IBM e-business Innovation :: Boston"
"TG STAFF"	"Manager, Site Finance - - 300 mm Operations"
"SALES & DISTRIBUTION"	"Content Strategy & Development"
"STRATEGIC OUTSOURCING"	"Program Manager Risk Management"
"SOFTWARE SALES"	"Manager and STSM, Strategic Design Team, ibm.com Global Web Strategy and Enablement"
"IS"	"IT Specialist, Data Warehousing"
"0"	"WebSphere MQ FV."
"0"	"Consultant"
"0"	"Professional"
"FINANCE"	"Mgr, Pervasive Solutions"
"REAL ESTATE"	"Adm. Asst. to: Greg Geonis, Clayton Powell, Jr.  Pat Elam, Patsy Horgan, Tom Jackson,"
"PUBLIC SECTOR"	"Sr. Delivery Project Executive / Manager, Global Midmarket Business - Capacity Services"
"STRATEGIC OUTSOURCING"	"Capacity Planning & Performance Mgmt. Services"
"IS"	"ITS Unit Manager"
"2"	"IGS/BCS West HR compensation advisor"
"PUBLIC SECTOR"	"Managing Consultant"
"PC DIVISION"	"EMEA PCD ThinkVantage Marketing"
"PUBLIC SECTOR"	"Server Services Manager"
"PUBLIC SECTOR"	"I/T SPECIALIST, DOMINO ADMIN"
"WW SALES"	"AIM Business Development Program Director"
"11"	"Cust.Sat.&Quality mgmt.&Process Compl. manager"
"11"	"IGS Finance & Planning Operations, Consolidation & Measurements, Spain & Portugal."
"PUBLIC SECTOR"	"Hitachi Separation Project Manager"
"MS"	"Country Manager, Public Sector"
"SOFTWARE GROUP"	"Sr. Offering Manager"
"PUBLIC SECTOR"	"Mainframe Storage Management"
"PUBLIC SECTOR"	"Life Sciences Enabling Technologies"
"WW SALES"	"Technical Consultant - Competitive Lab"
"2"	"Segment Manager"
"0"	"Team Lead - WebSphere MQ/MQSI ATE(Automated Test Execution) Team"
"PUBLIC SECTOR"	"IT Architect"
"NONE"	"Portugal Telecom & Other Accounts DPE"
"SG&A"	"Software Developer - dbx debugger for z/OS UNIX System Services"
"2"	"Project Executive"
"SOFTWARE SALES"	"Vice President, Marketing, Global Public Sector"
"SOFTWARE SALES"	"Market Data Strategist"
"TG STAFF"	"Analyst Relations Manager, IBM Research, Innovation and Transformation"
"TG STAFF"	"Solutions Engagement Manager working with ISVs"
"SG&A"	"WebSphere Application Server XD ID Team Lead"
"SOFTWARE SALES"	"WW Integrated Marketing Communications Lead"
"PUBLIC SECTOR"	"IT Specialist"
"2"	"Project Manager"
"SI"	"Professional Development Manager"
"2"	"IT Architect"
"REAL ESTATE"	"Incentive Plan Advisor"
"REAL ESTATE"	"Emerging Markets - Global Small & Medium Business"
"SOFTWARE SALES"	"Communications Team Lead, Communications Sector"
"SG&A"	"PDT Wkly Test Status Reporting for ICMT Cert Tstg, Test & Dev Eqpmt Polling, H/W Sharing Coordinator, etc"
"2"	"Senior Technical Consult"
"WW SALES"	"eCommerce Development (Orders/Payments)"
"SOFTWARE GROUP"	"STSM - Domino Administration Project Lead"
"TG STAFF"	"300mm Maintenance Engineer - RIE/MTL/Vacuum Systems"
"WW SALES"	"IGS Sales Specialist, Self Services & BCRS"
"PUBLIC SECTOR"	"db2 system test"
"NONE"	"SAP Technical Consultant"
"2"	"INTEGRATED MKTG COMMS SPECIALIST"
"SYS GROUP MFG"	"Integrated Supply Chain, Communications"
"0"	"Manager of IT and service delivery, IGF-Japan"
"11"	"EMEA South AMS Learning Development Business Area Manager"
"64"	"Market Intelligence Strategist - IBM Global Services North America"
"REAL ESTATE"	"DCM Latin America"
"PUBLIC SECTOR"	"eBusiness Architect, Strategy and Architecture Team"
"0"	"Sr. Software Engineer"
"HUMAN RESOURCES"	"INDUSTRIAL HYGIENE"
"REAL ESTATE"	"Consulting Software I/T Architect -  Certified Business Intelligence I/T Specialist"
"PC DIVISION"	"Program Director, ThinkVantage Technologies Deployment"
"SOFTWARE SALES"	"Executive Communications"
"2"	"Accountant"
"REAL ESTATE"	"Americas pSeries Sales Executive"
"0"	"ASSOCIATE PROJECT MANAGER"
"REAL ESTATE"	"Managing Director, Washington Mutual Account"
"PUBLIC SECTOR"	"Vice President, End User Services"
"2"	"IT Architect"
"6"	"Software Developer"
"PUBLIC SECTOR"	"Mgr, Technical Solution Architecture & Engagement Management"
"EL"	"Test Engineer"
"SG&A"	"Architect, eServer xSeries Windows Software Development"
"WW SALES"	"Manager, Emerging Technologies"
"0"	"IT Specialist"
"REAL ESTATE"	"Client Director - Intel,Industrial Sector, Sacramento- California"
"SG&A"	"SAN File System Architecture and PerformanceOnDemand Infrastructure Storage Resource Manager"
"2"	"ibm.com Telecoverage Sales Manager for SMB Kansai & Seibu Regions"
"PUBLIC SECTOR"	"Vice President & Sr. Service Delivery Executive"
"WW SALES"	"Developer - Enterprise XML Solutions"
"WW SALES"	"FISC"
"0"	"ASSOCIATE PROJECT MANAGER"
"STRATEGIC OUTSOURCING"	"Program Manager, Project Management Center of Excellence"
"TG STAFF"	"Site Communications"
"SOFTWARE SALES"	"Program Manager, OneXperience"
"0"	"IT Specialist"
"REAL ESTATE"	"ibm.com SMB iTSR- New England"
"2"	"AMS TSM Leader"
"NONE"	"Client Representative ibm.com"
"2"	"Director of Marketing West Region"
"2"	"SO/SD MOP MVS tools"
"WW SALES"	"ITS Resource Manager (SVS, Sales, Busdev, Busops, F&P)"
"PUBLIC SECTOR"	"Consultant"
"SG&A"	"Human Factors Design and Test. ....Easability.  Helping computers get along with people."
"NONE"	"Senior IT Architect"
"WW SALES"	"Manager, SWG Channels Marketing - Partner Enablement"
"WW SALES"	"AS/400 Senior Systems Specialist"
"2"	"Lotus Notes Administrato"
"SOFTWARE SALES"	"IBM Healthcare & Life Sciences, Global Biotechnology Marketing Manager"
"SALES & DISTRIBUTION"	"Managing Consultant"
"2"	"Business Analyst, CAT & ShopzSeries"
"IS"	"Director of Sales, Financial Services Sector - Italy"
"IS"	"Manager of E&C Competitive Markets - South Region"
"IS"	"EMEA South IGS AMS Manager (Torino-Genova)"
"PUBLIC SECTOR"	"Manager of UNIX/Windows Server support (Distributed Svcs Delivery)"
"REAL ESTATE"	"Senior IT Architect, Software"
"17"	"AUS Support and Operations Manager"
"SOFTWARE GROUP"	"Operations Mgr, WebSpere Portal Test"
"64"	"LGR - IBM Global Services Sales Americas"
"HUMAN RESOURCES"	"Director of Strategy"
"SI"	"CRM Process Consultant & Business Analyst"
"STRATEGIC OUTSOURCING"	"Mgr, Global e2e Business Process Enablement for IBM Account"
"REAL ESTATE"	"Linux Sales Enablement - Americas"
"2"	"IT Designer"
"2"	"Executive Assistant to Françoise Gri"
"IS"	"Client Unit Manager M/A Toscana"
"IS"	"Management Development Leader Italy"
"GS"	"Negotiator, Contracts and Negotiations"
"0"	"Country General Manager"
"WW SALES"	"Architect, Application Analysis Technologies"
"NONE"	"EMEA Management Development Consultant"
"NONE"	"Manager SEPG, Metrics & Quality"
"RESEARCH"	"Patent Engineer Intellectual Property Law"
"HX"	"WebSphere & Java Messaging L3 Service (x-WebSphere MQ Development : Eclipse Plug-in)"
"SOFTWARE SALES"	"Program Manager, FOAK/ISL"
"WW SALES"	"SWG Internal & Sales Communications"
"FINANCE"	"Websphere Studio Device Developer (Developer)"
"IS"	"IBM eServer xSeries Technical Sales Support Manager, South - ISG"
"IS"	"Client Representative - Financial Services Sector"
"SOFTWARE GROUP"	"Support Business Leader, Americas"
"TA"	"EMEA Service Representative for Storage Products. OLCM for MV Storage Products"
"SEC F&S OPS"	"IBM Global Finance Executive, South Africa"
"REAL ESTATE"	"Manager - Software Group - IGS Americas Migration Team"
"2"	"Teamleader pSeries CO&IM"
"2"	"Mobile e-Business Architect"
"NONE"	"Certified IT Architect"
"2"	"TERRITORY UNIT MANAGER,PUBLIC SECTOR,TAIWAN"
"REAL ESTATE"	"Mgr. Finance Global Services - Iberia Unit"
"IS"	"CRM Deployment /Siebel/e-Pricer"
"SYS GROUP MFG"	"Vice President, Customer Fulfillment, Americas"
"MS"	"Country Executive, Marketing"
"STRATEGIC OUTSOURCING"	"Quality Assurance Manager-ITS West"
"SG&A"	"Mgr: Systems Assurance - Application SW System Test"
"2"	"Tech Security Admin"
"HUMAN RESOURCES"	"Communications Specialist"
"SMB FINANCE"	"Manager, IBM Global Financing Strategy"
"2"	"Country General Manager"
