"topic","factor","CreationDate","mean","low","high"
"system_tool_data","exec_mana","10/26/2004",0.028404,0.025002,0.031829
"system_tool_data","exec_mana","10/27/2004",0.031474,0.02863,0.034146
"system_tool_data","exec_mana","10/28/2004",0.030431,0.027685,0.033445
"system_tool_data","exec_mana","7/29/2003",0.01004,0.008166,0.012157
"system_tool_data","exec_mana","7/30/2003",0.009411,0.00796,0.011214
"system_tool_data","exec_mana","7/31/2003",0.010227,0.008535,0.01221
"system_tool_data","exec_mana","8/1/2003",0.008702,0.006775,0.01127
"system_tool_data","other","10/26/2004",0.037837,0.034439,0.041017
"system_tool_data","other","10/27/2004",0.03468,0.032829,0.036612
"system_tool_data","other","10/28/2004",0.033329,0.031317,0.035383
"system_tool_data","other","7/29/2003",0.00997,0.008879,0.011193
"system_tool_data","other","7/30/2003",0.01047,0.009562,0.011589
"system_tool_data","other","7/31/2003",0.010848,0.009566,0.012501
"system_tool_data","other","8/1/2003",0.011171,0.009674,0.012861
"ibm_country_global","exec_mana","10/26/2004",0.016817,0.014761,0.018805
"ibm_country_global","exec_mana","10/27/2004",0.022911,0.021104,0.024642
"ibm_country_global","exec_mana","10/28/2004",0.021973,0.020074,0.024012
"ibm_country_global","exec_mana","7/29/2003",0.031996,0.025078,0.039811
"ibm_country_global","exec_mana","7/30/2003",0.042847,0.035931,0.049905
"ibm_country_global","exec_mana","7/31/2003",0.046563,0.038752,0.054597
"ibm_country_global","exec_mana","8/1/2003",0.053583,0.04112,0.066352
"ibm_country_global","other","10/26/2004",0.019973,0.018102,0.022011
"ibm_country_global","other","10/27/2004",0.026319,0.024921,0.027839
"ibm_country_global","other","10/28/2004",0.026615,0.024912,0.028217
"ibm_country_global","other","7/29/2003",0.033038,0.028795,0.037321
"ibm_country_global","other","7/30/2003",0.036042,0.032491,0.039829
"ibm_country_global","other","7/31/2003",0.047445,0.042197,0.052658
"ibm_country_global","other","8/1/2003",0.053479,0.046511,0.060749
"manager_employee_management","exec_mana","10/26/2004",0.044978,0.039997,0.050097
"manager_employee_management","exec_mana","10/27/2004",0.06062,0.056638,0.064719
"manager_employee_management","exec_mana","10/28/2004",0.063442,0.059052,0.068208
"manager_employee_management","exec_mana","7/29/2003",0.015061,0.011566,0.01942
"manager_employee_management","exec_mana","7/30/2003",0.015358,0.012335,0.018777
"manager_employee_management","exec_mana","7/31/2003",0.020847,0.016619,0.025535
"manager_employee_management","exec_mana","8/1/2003",0.021238,0.014689,0.029117
"manager_employee_management","other","10/26/2004",0.035408,0.032151,0.03873
"manager_employee_management","other","10/27/2004",0.043046,0.040654,0.045467
"manager_employee_management","other","10/28/2004",0.043514,0.041045,0.046249
"manager_employee_management","other","7/29/2003",0.019314,0.016618,0.022094
"manager_employee_management","other","7/30/2003",0.016838,0.014824,0.018882
"manager_employee_management","other","7/31/2003",0.018285,0.015641,0.021082
"manager_employee_management","other","8/1/2003",0.019009,0.016052,0.022348
"solution_client_ibm","exec_mana","10/26/2004",0.061101,0.055252,0.066674
"solution_client_ibm","exec_mana","10/27/2004",0.053594,0.049658,0.057216
"solution_client_ibm","exec_mana","10/28/2004",0.052984,0.048607,0.05715
"solution_client_ibm","exec_mana","7/29/2003",0.018073,0.013425,0.023579
"solution_client_ibm","exec_mana","7/30/2003",0.025124,0.020587,0.030006
"solution_client_ibm","exec_mana","7/31/2003",0.022435,0.018195,0.027297
"solution_client_ibm","exec_mana","8/1/2003",0.025163,0.018089,0.03321
"solution_client_ibm","other","10/26/2004",0.045983,0.042215,0.049751
"solution_client_ibm","other","10/27/2004",0.045741,0.04339,0.048214
"solution_client_ibm","other","10/28/2004",0.048882,0.046115,0.05177
"solution_client_ibm","other","7/29/2003",0.020346,0.01753,0.023154
"solution_client_ibm","other","7/30/2003",0.023977,0.021115,0.026696
"solution_client_ibm","other","7/31/2003",0.020243,0.017126,0.023384
"solution_client_ibm","other","8/1/2003",0.019152,0.01568,0.022979
"information_find_tool","exec_mana","10/26/2004",0.026012,0.022565,0.029366
"information_find_tool","exec_mana","10/27/2004",0.022455,0.020559,0.024565
"information_find_tool","exec_mana","10/28/2004",0.021357,0.019242,0.023633
"information_find_tool","exec_mana","7/29/2003",0.009942,0.008259,0.012143
"information_find_tool","exec_mana","7/30/2003",0.01078,0.00887,0.01307
"information_find_tool","exec_mana","7/31/2003",0.010225,0.00821,0.012544
"information_find_tool","exec_mana","8/1/2003",0.011815,0.008447,0.016663
"information_find_tool","other","10/26/2004",0.041111,0.037439,0.044947
"information_find_tool","other","10/27/2004",0.033757,0.031746,0.035693
"information_find_tool","other","10/28/2004",0.032804,0.030637,0.035038
"information_find_tool","other","7/29/2003",0.009613,0.008556,0.010762
"information_find_tool","other","7/30/2003",0.011518,0.010234,0.013108
"information_find_tool","other","7/31/2003",0.014335,0.0123,0.016615
"information_find_tool","other","8/1/2003",0.010967,0.009542,0.012481
"customer_ibm_business","exec_mana","10/26/2004",0.045765,0.041541,0.050386
"customer_ibm_business","exec_mana","10/27/2004",0.042784,0.04,0.045659
"customer_ibm_business","exec_mana","10/28/2004",0.045631,0.042351,0.04884
"customer_ibm_business","exec_mana","7/29/2003",0.062824,0.051896,0.074104
"customer_ibm_business","exec_mana","7/30/2003",0.059511,0.051668,0.06736
"customer_ibm_business","exec_mana","7/31/2003",0.052285,0.043334,0.061427
"customer_ibm_business","exec_mana","8/1/2003",0.057105,0.045785,0.068844
"customer_ibm_business","other","10/26/2004",0.046945,0.043256,0.050728
"customer_ibm_business","other","10/27/2004",0.043334,0.041409,0.045377
"customer_ibm_business","other","10/28/2004",0.052217,0.049839,0.054634
"customer_ibm_business","other","7/29/2003",0.055653,0.050277,0.061174
"customer_ibm_business","other","7/30/2003",0.052941,0.048696,0.057417
"customer_ibm_business","other","7/31/2003",0.047019,0.042074,0.052445
"customer_ibm_business","other","8/1/2003",0.047374,0.041601,0.053456
"manager_decision_level","exec_mana","10/26/2004",0.036345,0.03228,0.040874
"manager_decision_level","exec_mana","10/27/2004",0.037476,0.034702,0.040351
"manager_decision_level","exec_mana","10/28/2004",0.035098,0.032064,0.038218
"manager_decision_level","exec_mana","7/29/2003",0.015637,0.01177,0.020419
"manager_decision_level","exec_mana","7/30/2003",0.014742,0.01174,0.017861
"manager_decision_level","exec_mana","7/31/2003",0.017113,0.013218,0.021728
"manager_decision_level","exec_mana","8/1/2003",0.015093,0.011049,0.019549
"manager_decision_level","other","10/26/2004",0.021456,0.019295,0.023764
"manager_decision_level","other","10/27/2004",0.021509,0.020181,0.022763
"manager_decision_level","other","10/28/2004",0.020756,0.019292,0.02218
"manager_decision_level","other","7/29/2003",0.01578,0.013444,0.018006
"manager_decision_level","other","7/30/2003",0.014108,0.012454,0.01587
"manager_decision_level","other","7/31/2003",0.017098,0.01456,0.019787
"manager_decision_level","other","8/1/2003",0.016348,0.01346,0.019391
"work_ibm_employee","exec_mana","10/26/2004",0.01813,0.015477,0.02098
"work_ibm_employee","exec_mana","10/27/2004",0.017829,0.01598,0.019834
"work_ibm_employee","exec_mana","10/28/2004",0.015012,0.013396,0.016766
"work_ibm_employee","exec_mana","7/29/2003",0.023829,0.017622,0.030854
"work_ibm_employee","exec_mana","7/30/2003",0.025863,0.020166,0.031689
"work_ibm_employee","exec_mana","7/31/2003",0.027511,0.021458,0.033684
"work_ibm_employee","exec_mana","8/1/2003",0.038345,0.02767,0.049614
"work_ibm_employee","other","10/26/2004",0.021185,0.019072,0.023451
