"topic","factor","CreationDate","mean","low","high"
"system_tool_data","executive_manager","10/26/2004",0.028404,0.024988,0.032085
"system_tool_data","executive_manager","10/27/2004",0.031474,0.028767,0.034151
"system_tool_data","executive_manager","10/28/2004",0.030431,0.027661,0.033518
"system_tool_data","executive_manager","7/29/2003",0.01004,0.008286,0.012132
"system_tool_data","executive_manager","7/30/2003",0.009411,0.007967,0.011292
"system_tool_data","executive_manager","7/31/2003",0.010227,0.008539,0.012187
"system_tool_data","executive_manager","8/1/2003",0.008702,0.006899,0.011213
"system_tool_data","other","10/26/2004",0.037837,0.034599,0.040994
"system_tool_data","other","10/27/2004",0.03468,0.032808,0.036552
"system_tool_data","other","10/28/2004",0.033329,0.031278,0.035582
"system_tool_data","other","7/29/2003",0.00997,0.008852,0.011145
"system_tool_data","other","7/30/2003",0.01047,0.009452,0.011632
"system_tool_data","other","7/31/2003",0.010848,0.009457,0.012431
"system_tool_data","other","8/1/2003",0.011171,0.009655,0.012906
"ibm_country_global","executive_manager","10/26/2004",0.016817,0.0147,0.018932
"ibm_country_global","executive_manager","10/27/2004",0.022911,0.021226,0.024743
"ibm_country_global","executive_manager","10/28/2004",0.021973,0.020075,0.024085
"ibm_country_global","executive_manager","7/29/2003",0.031996,0.02549,0.039181
"ibm_country_global","executive_manager","7/30/2003",0.042847,0.035893,0.050115
"ibm_country_global","executive_manager","7/31/2003",0.046563,0.038879,0.055495
"ibm_country_global","executive_manager","8/1/2003",0.053583,0.041531,0.0672
"ibm_country_global","other","10/26/2004",0.019973,0.018137,0.022102
"ibm_country_global","other","10/27/2004",0.026319,0.025027,0.027783
"ibm_country_global","other","10/28/2004",0.026615,0.025089,0.028278
"ibm_country_global","other","7/29/2003",0.033038,0.028909,0.037601
"ibm_country_global","other","7/30/2003",0.036042,0.032547,0.039609
"ibm_country_global","other","7/31/2003",0.047445,0.042,0.052674
"ibm_country_global","other","8/1/2003",0.053479,0.046564,0.061154
"manager_employee_management","executive_manager","10/26/2004",0.044978,0.039819,0.050204
"manager_employee_management","executive_manager","10/27/2004",0.06062,0.056868,0.064668
"manager_employee_management","executive_manager","10/28/2004",0.063442,0.058824,0.068265
"manager_employee_management","executive_manager","7/29/2003",0.015061,0.011506,0.019378
"manager_employee_management","executive_manager","7/30/2003",0.015358,0.012235,0.018716
"manager_employee_management","executive_manager","7/31/2003",0.020847,0.016805,0.025514
"manager_employee_management","executive_manager","8/1/2003",0.021238,0.014731,0.028953
"manager_employee_management","other","10/26/2004",0.035408,0.032148,0.038768
"manager_employee_management","other","10/27/2004",0.043046,0.040756,0.04552
"manager_employee_management","other","10/28/2004",0.043514,0.040838,0.046313
"manager_employee_management","other","7/29/2003",0.019314,0.016772,0.021901
"manager_employee_management","other","7/30/2003",0.016838,0.014986,0.018846
"manager_employee_management","other","7/31/2003",0.018285,0.01588,0.020824
"manager_employee_management","other","8/1/2003",0.019009,0.015862,0.022789
"solution_client_ibm","executive_manager","10/26/2004",0.061101,0.054988,0.066823
"solution_client_ibm","executive_manager","10/27/2004",0.053594,0.049802,0.057367
"solution_client_ibm","executive_manager","10/28/2004",0.052984,0.048965,0.05686
"solution_client_ibm","executive_manager","7/29/2003",0.018073,0.013511,0.023567
"solution_client_ibm","executive_manager","7/30/2003",0.025124,0.020813,0.029968
"solution_client_ibm","executive_manager","7/31/2003",0.022435,0.018231,0.027161
"solution_client_ibm","executive_manager","8/1/2003",0.025163,0.018464,0.033435
"solution_client_ibm","other","10/26/2004",0.045983,0.042129,0.049616
"solution_client_ibm","other","10/27/2004",0.045741,0.043413,0.048224
"solution_client_ibm","other","10/28/2004",0.048882,0.046264,0.051761
"solution_client_ibm","other","7/29/2003",0.020346,0.017714,0.023483
"solution_client_ibm","other","7/30/2003",0.023977,0.021153,0.026684
"solution_client_ibm","other","7/31/2003",0.020243,0.017213,0.023613
"solution_client_ibm","other","8/1/2003",0.019152,0.01597,0.022983
"information_find_tool","executive_manager","10/26/2004",0.026012,0.022335,0.029879
"information_find_tool","executive_manager","10/27/2004",0.022455,0.02048,0.024486
"information_find_tool","executive_manager","10/28/2004",0.021357,0.019238,0.023641
"information_find_tool","executive_manager","7/29/2003",0.009942,0.008124,0.011969
"information_find_tool","executive_manager","7/30/2003",0.01078,0.008836,0.013236
"information_find_tool","executive_manager","7/31/2003",0.010225,0.008215,0.012539
"information_find_tool","executive_manager","8/1/2003",0.011815,0.008329,0.016006
"information_find_tool","other","10/26/2004",0.041111,0.037709,0.044422
"information_find_tool","other","10/27/2004",0.033757,0.031972,0.03569
"information_find_tool","other","10/28/2004",0.032804,0.030701,0.035002
"information_find_tool","other","7/29/2003",0.009613,0.008616,0.010737
"information_find_tool","other","7/30/2003",0.011518,0.01017,0.012933
"information_find_tool","other","7/31/2003",0.014335,0.012372,0.016563
"information_find_tool","other","8/1/2003",0.010967,0.00956,0.012526
"customer_ibm_business","executive_manager","10/26/2004",0.045765,0.04173,0.049842
"customer_ibm_business","executive_manager","10/27/2004",0.042784,0.040005,0.045555
"customer_ibm_business","executive_manager","10/28/2004",0.045631,0.042654,0.048803
"customer_ibm_business","executive_manager","7/29/2003",0.062824,0.052453,0.073927
"customer_ibm_business","executive_manager","7/30/2003",0.059511,0.051155,0.068318
"customer_ibm_business","executive_manager","7/31/2003",0.052285,0.043571,0.060469
"customer_ibm_business","executive_manager","8/1/2003",0.057105,0.045653,0.069372
"customer_ibm_business","other","10/26/2004",0.046945,0.043554,0.050612
"customer_ibm_business","other","10/27/2004",0.043334,0.041298,0.045294
"customer_ibm_business","other","10/28/2004",0.052217,0.049643,0.054714
"customer_ibm_business","other","7/29/2003",0.055653,0.05049,0.061248
"customer_ibm_business","other","7/30/2003",0.052941,0.048488,0.057337
"customer_ibm_business","other","7/31/2003",0.047019,0.04236,0.052111
"customer_ibm_business","other","8/1/2003",0.047374,0.041894,0.053291
"manager_decision_level","executive_manager","10/26/2004",0.036345,0.031933,0.040508
"manager_decision_level","executive_manager","10/27/2004",0.037476,0.034659,0.040538
"manager_decision_level","executive_manager","10/28/2004",0.035098,0.032119,0.038161
"manager_decision_level","executive_manager","7/29/2003",0.015637,0.011948,0.020319
"manager_decision_level","executive_manager","7/30/2003",0.014742,0.011625,0.018133
"manager_decision_level","executive_manager","7/31/2003",0.017113,0.013263,0.021594
"manager_decision_level","executive_manager","8/1/2003",0.015093,0.01107,0.020099
"manager_decision_level","other","10/26/2004",0.021456,0.019229,0.023592
