"topic","words","factorValues","otherValues","valuesWords","worldWords","type"
1,"system",0.0394092439546985,0.0390383625128733,0.0678362573099415,0.0379919868017912,"real"
1,"tool",0.0384909703091521,0.0371395468589083,0.0333333333333333,0.0377091680414801,"real"
1,"data",0.0218855218855219,0.0240409371781668,0.0292397660818713,0.0231675701154843,"real"
1,"information",0.015993265993266,0.018923789907312,0.0111111111111111,0.0183360829601697,"real"
1,"time",0.0158402203856749,0.0138066426364573,0.0087719298245614,0.0146358708460995,"real"
1,"report",0.0136975818794001,0.00939752832131823,0.0187134502923977,0.0103464529813811,"real"
1,"note",0.0117845117845118,0.0111997940267765,0.0128654970760234,0.011312750412444,"real"
1,"access",0.0100244872972146,0.0115859938208033,0.0105263157894737,0.0111477728022626,"real"
1,"application",0.00811141720232629,0.0103630278063852,0.0146198830409357,0.0094979967004478,"real"
1,"number",0.00803489439853076,0.00801364572605561,0.00818713450292398,0.00801319820881452,"real"
1,"password",0.00719314355677992,0.0083032955715757,0.00409356725146199,0.00813103935894414,"real"
1,"hour",0.00244872972145699,0.00279994850669413,0.00935672514619883,0.00242752769267028,"real"
2,"ibm",0.0651809026482656,0.0709501025290499,0.0714334775740092,0.0682399213372665,"real"
2,"country",0.0527788138754196,0.0481544771018455,0.0310460883302425,0.0599016715830875,"real"
2,"global",0.033662812383439,0.0237867395762133,0.0184078576825331,0.0310324483775811,"real"
2,"local",0.020514733308467,0.016473000683527,0.00837969640772031,0.0228121927236971,"real"
2,"world",0.0200484893696382,0.0208475734791524,0.0289855072463768,0.015850540806293,"real"
2,"diversity",0.0141738157403954,0.0124401913875598,0.0197128923689814,0.00900688298918387,"real"
2,"community",0.0137075718015666,0.0149350649350649,0.0206058108386565,0.0111701081612586,"real"
2,"region",0.0111898545318911,0.00933014354066986,0.00178583693935023,0.0144346116027532,"real"
2,"emea",0.0103506154419993,0.00642515379357485,0.00192320901160794,0.0106588003933137,"real"
2,"international",0.0101641178664677,0.00755297334244703,0.00494539460127756,0.0101474926253687,"real"
2,"india",0.00857888847444983,0.00936431989063568,0.00920392884126657,0.00912487708947886,"real"
2,"company",0.00801939574785528,0.00847573479152426,0.00858575451610688,0.00822025565388397,"real"
2,"business",0.00550167847817978,0.00680109364319891,0.00934130091352428,0.0047984267453294,"real"
2,"society",0.00456919060052219,0.00485304169514696,0.00927261487739543,0.00220255653883972,"real"
2,"geo",0.00969787392763894,0.00604921394395079,0.00219795315612336,0.00979351032448377,"real"
3,"manager",0.119336689369263,0.119648548539926,0.135535789919526,0.118115510568622,"real"
3,"employee",0.0482253902449342,0.0542108134493353,0.0550614146548073,0.0515034236379875,"real"
3,"management",0.0157790092643513,0.0179458466132598,0.0326132994493859,0.0157040785948199,"real"
3,"feedback",0.0101104107618766,0.0130932896890344,0.00825921219822109,0.012206013694552,"real"
3,"team",0.00989889589238123,0.0107387946133747,0.00931808555696739,0.0104941947008038,"real"
3,"role",0.00964507804898684,0.00996353403968186,0.00762388818297332,0.0100290264959809,"real"
3,"business",0.00951816912728965,0.00892985327475809,0.0097416349004659,0.00911729681452813,"real"
3,"survey",0.00930665425779432,0.0095041203663824,0.00995340957221516,0.00937779100922894,"real"
3,"people_management",0.00846059477981302,0.00577138427082436,0.0036001694197374,0.00714498362607919,"real"
3,"coaching",0.00765683827573078,0.00551296407959342,0.00656501482422702,0.00636350104197678,"real"
3,"human_resources",0.00765683827573078,0.00758032560944095,0,0.00827999404584698,"real"
3,"pbc",0.00503405389398875,0.00720705199988515,0.00741211351122406,0.00623325394462638,"real"
3,"leader",0.00583781039807098,0.00574267091624314,0.00868276154171961,0.00552619827329562,"real"
3,"important",0.00710689961504294,0.00714962529072271,0.00550614146548073,0.00727523072342959,"real"
4,"solution",0.029773138697377,0.0277106749985027,0.0280404844864775,0.0284469832202785,"real"
4,"client",0.0231868428147749,0.0242767873185729,0.0144350423096068,0.0247197429489468,"real"
4,"business",0.0207988291029542,0.0178083012238216,0.0207400033184005,0.0186647625847911,"real"
4,"ibm",0.0193352077957093,0.0221605542135,0.017089762734362,0.0215494466262049,"real"
4,"service",0.0137118206678735,0.0173091896424365,0.0187489629998341,0.0158514816137094,"real"
4,"demand",0.0135192389169202,0.0142546267643594,0.0292019246723079,0.0126954659050339,"real"
4,"capability",0.0103608982012864,0.00696759767613648,0.00630496100879376,0.00828275615851482,"real"
4,"model",0.00924392404575742,0.00806564315518377,0.00647088103534097,0.00863977151017494,"real"
4,"technology",0.00893579324423218,0.00926351095050809,0.0127758420441347,0.00883970010710461,"real"
4,"industry",0.00882024419366021,0.0081854299347162,0.00813008130081301,0.00842556229917886,"real"
4,"bcs",0.00612409968031429,0.00754656711054323,0.00564128090260494,0.00718314887540164,"real"
4,"strategy",0.007164041135462,0.00626884146219729,0.00813008130081301,0.00644055694394859,"real"
4,"organization",0.00720255748565266,0.00714727784543513,0.0079641612742658,0.00709746519100321,"real"
5,"information",0.0488353626257279,0.0471613848297545,0.0471331389698737,0.0475408367426165,"real"
5,"tool",0.0292482795129698,0.0241880738861696,0.0286686103012634,0.0250544987607131,"real"
5,"find",0.0268660667019587,0.0257601200471614,0.0272108843537415,0.0259205064651954,"real"
5,"ibm",0.0168078348332451,0.0221872878630891,0.0140913508260447,0.0214710186042345,"real"
5,"search",0.0161461090524087,0.0182929007824502,0.0194363459669582,0.0177382267745692,"real"
5,"web",0.0117787188988883,0.00878916717281789,0.0136054421768707,0.00916773673365784,"real"
5,"site",0.0109846479618846,0.013290935724749,0.0087463556851312,0.0130498402365097,"real"
5,"content",0.0108523028057173,0.00693129443710029,0.0126336248785228,0.00746558365933049,"real"
5,"link",0.00952885124404447,0.00907499374754368,0.0126336248785228,0.00895870039119658,"real"
5,"page",0.00860243515087348,0.00782450248311837,0.010689990281827,0.00782393167497835,"real"
5,"document",0.00529380624669137,0.00861052556361428,0.00485908649173955,0.00809269268671425,"real"
5,"ibmer",0.00780836421386977,0.0081817857015256,0.00534499514091351,0.00827186669453818,"real"
5,"knowledge",0.00476442562202223,0.00768158919575548,0.0184645286686103,0.00636067727774957,"real"
6,"customer",0.144520836256489,0.146188967956892,0.157891602144133,0.141826245466333,"real"
6,"ibm",0.0818015995510032,0.0876763604952491,0.081893984514592,0.0871403604382388,"real"
6,"client",0.031102380618306,0.0271687713380774,0.0087552114353782,0.0345592242497134,"real"
6,"business",0.0306346756466021,0.0273950063757147,0.0309112567004169,0.0275872437186402,"real"
6,"service",0.0238997240540667,0.0275595409485418,0.0288862418106015,0.0256704188826039,"real"
6,"product",0.0141714606426266,0.018222203940603,0.0203097081596188,0.015935955499596,"real"
6,"provide",0.0105233618633366,0.00987207436962692,0.00982727814175104,0.0101478961907804,"real"
6,"make",0.0103362798746551,0.0103245444449015,0.00964860035735557,0.0105425365981997,"real"
6,"relationship",0.0102895093774847,0.00993377483443708,0.00881477069684336,0.0104297821960799,"real"
