"doc","topic","docprop","source","year"
1,6,0.025,"HOU",1986
1,10,0.95,"HOU",1986
1,11,0.025,"HOU",1986
2,0,0.462765957446808,"HOU",1986
2,2,0.537234042553192,"HOU",1986
3,0,0.854922279792746,"HOU",1986
3,3,0.00518134715025907,"HOU",1986
3,6,0.0077720207253886,"HOU",1986
3,10,0.121761658031088,"HOU",1986
3,11,0.0103626943005181,"HOU",1986
4,0,0.975206611570248,"HOU",1986
4,2,0.00826446280991736,"HOU",1986
4,8,0.0165289256198347,"HOU",1986
5,0,0.894545454545455,"HOU",1986
5,2,0.0218181818181818,"HOU",1986
5,10,0.0836363636363636,"HOU",1986
6,3,0.894736842105263,"HOU",1986
6,4,0.087719298245614,"HOU",1986
6,10,0.0175438596491228,"HOU",1986
7,10,1,"HOU",1986
8,0,0.991501416430595,"HOU",1986
8,2,0.0056657223796034,"HOU",1986
8,11,0.0028328611898017,"HOU",1986
9,0,0.778617710583153,"HOU",1986
9,2,0.00323974082073434,"HOU",1986
9,3,0.195464362850972,"HOU",1986
9,4,0.00755939524838013,"HOU",1986
9,8,0.00323974082073434,"HOU",1986
9,10,0.00107991360691145,"HOU",1986
9,11,0.0107991360691145,"HOU",1986
10,0,0.993197278911565,"HOU",1986
10,2,0.00680272108843537,"HOU",1986
11,0,0.787974683544304,"HOU",1986
11,2,0.0727848101265823,"HOU",1986
11,4,0.0284810126582278,"HOU",1986
11,11,0.110759493670886,"HOU",1986
12,0,0.831775700934579,"HOU",1986
12,2,0.014018691588785,"HOU",1986
12,10,0.154205607476636,"HOU",1986
13,0,0.0169491525423729,"HOU",1986
13,3,0.694915254237288,"HOU",1986
13,10,0.288135593220339,"HOU",1986
14,0,0.752808988764045,"HOU",1986
14,10,0.241573033707865,"HOU",1986
14,11,0.00561797752808989,"HOU",1986
15,10,1,"HOU",1986
16,0,0.355263157894737,"HOU",1986
16,10,0.644736842105263,"HOU",1986
17,0,0.914893617021277,"HOU",1986
17,2,0.0765957446808511,"HOU",1986
