
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"arts [0.18578508431641]","arts [0.185646971239138]","arts [0.225540518639737]","arts [0.179586429474539]","arts [0.165214451025935]","arts [0.188372430132848]","arts [0.16442355998404]","arts [0.205736463456199]","arts [0.172017833634387]","arts [0.17072048868934]","arts [0.163550219760927]","arts [0.170630968765871]",
"organizations [0.0556214735670018]","00 [0.0430906835144355]","money [0.0400523315916157]","board [0.0597886943211183]","organizations [0.0423315491292295]","museum [0.0478969315156416]","council [0.0432595407828908]","hackney [0.0653032162857024]","council [0.0410118866083148]","00 [0.044579890537286]","groups [0.0538828012970864]","money [0.0479418011480507]",
"00 [0.0486833545259176]","board [0.0393263783463608]","budget [0.0380066200361017]","museum [0.0422895981672581]","00 [0.0387063402377278]","budget [0.0400527499602335]","organizations [0.0393942435449273]","council [0.0485042027137937]","00 [0.0405600689713383]","museum [0.0408907866196774]","council [0.0495277846143438]","groups [0.0432376927114836]",
"groups [0.0440435871279987]","organizations [0.0393256112166456]","board [0.0376848639524288]","00 [0.0386551060800438]","board [0.0381626636346724]","organizations [0.0383769401771146]","percent [0.0388550138018804]","00 [0.0385422150171498]","grants [0.0366045473637122]","organizations [0.0408203893766386]","grants [0.0434172131320702]","support [0.0366102973689441]",
"symphony [0.0434587436194369]","groups [0.0358326128928452]","00 [0.037391060665587]","grants [0.0384628141370703]","money [0.0377499944997992]","percent [0.0382300111076735]","groups [0.0343536135194271]","humanities [0.0363951487790325]","money [0.0338161720487149]","grants [0.0394118338902474]","organizations [0.0397462027495446]","organizations [0.0365484938496392]",
"museum [0.0393150335707194]","money [0.035312921278371]","organizations [0.0326406742175009]","director [0.0322736025352448]","groups [0.0370698471960742]","grants [0.0367964437184849]","money [0.0327390674312352]","money [0.0328137929039995]","groups [0.0320717116435646]","groups [0.0383917988109898]","symphony [0.0364704024916867]","grants [0.0349405972450335]",
"support [0.0358320478774162]","support [0.0339402735407047]","museum [0.0324839685067448]","groups [0.0322727877579508]","grants [0.0350253329816149]","groups [0.0367237228573506]","symphony [0.0322803812957184]","grants [0.0319576301490604]","budget [0.0315262422405252]","money [0.0370158656464906]","museum [0.0332103755673721]","percent [0.0308464775692021]",
"budget [0.0340158625924181]","fund [0.0325495969187627]","percent [0.032222314231059]","organizations [0.0311590777584284]","director [0.0332066640578513]","board [0.033490252293536]","00 [0.0322597197763589]","organizations [0.0317721139646247]","programs [0.0296384490266429]","council [0.0352576446102058]","endowment [0.0329733523592265]","museum [0.0299656582518467]",
"board [0.0339309410574219]","museum [0.0323813150484243]","grants [0.0311154085088614]","money [0.0301627987727172]","council [0.0325664087405902]","00 [0.0322219950931763]","board [0.0270045225888515]","groups [0.0305623615496651]","organizations [0.029636838440447]","budget [0.0343253070712052]","00 [0.0284745935287841]","endowment [0.0289450232733211]",
"percent [0.0321352010815691]","grants [0.0300189015745934]","support [0.0303386777547879]","cultural [0.030089865078169]","cultural [0.0319806003409884]","director [0.0322018464013065]","director [0.0259519950549279]","cultural [0.0298825279453005]","city [0.0288698587855649]","support [0.0327261593571093]","budget [0.0281344753573953]","fund [0.028475597515936]",
